Player,Year,Pos,PPG,APG,RPG,BPG,SPG,PER,TS%,Score,Label
Maurice Cheeks,1990,PG,9.74074074074074,5.592592592592593,2.962962962962963,0.12345679012345678,1.5308641975308641,14.9,0.565,6.684092592592592,Reserva
Derrick Chievous,1990,SF,5.327272727272727,0.5636363636363636,1.6363636363636365,0.09090909090909091,0.4727272727272727,13.3,0.545,4.031318181818182,Reserva
Ben Coleman,1990,PF,5.7272727272727275,0.5454545454545454,3.9545454545454546,0.3181818181818182,0.3181818181818182,12.2,0.548,4.4575272727272734,Reserva
Steve Colter,1990,PG,4.945205479452055,2.0273972602739727,2.410958904109589,0.136986301369863,0.6438356164383562,15.9,0.533,4.3841904109589045,Reserva
Lester Conner,1990,PG,7.902439024390244,4.695121951219512,3.231707317073171,0.0975609756097561,2.097560975609756,12.8,0.486,5.587502439024391,Reserva
Michael Cooper,1990,SG,6.4375,2.6875,2.8375,0.45,0.8375,9.6,0.482,4.0382,Reserva
Wayne Cooper,1990,C,3.810126582278481,0.5569620253164557,4.291139240506329,1.2025316455696202,0.22784810126582278,10.6,0.469,3.43345,Reserva
Lanard Copeland,1990,SG,3.217391304347826,0.391304347826087,0.43478260869565216,0.043478260869565216,0.043478260869565216,10.0,0.499,2.491204347826087,Reserva
Tyrone Corbin,1990,SF,14.670731707317072,2.6341463414634148,7.365853658536586,0.5,2.1341463414634148,15.9,0.512,8.574004878048779,Reserva
Dave Corzine,1990,C,3.6666666666666665,0.3333333333333333,3.0,0.0,0.3333333333333333,3.2,0.368,1.9717333333333333,Reserva
Pat Cummings,1990,C,4.72972972972973,0.35135135135135137,2.5135135135135136,0.10810810810810811,0.32432432432432434,10.5,0.499,2.8019770270270272,Reserva
Terry Cummings,1990,PF,22.444444444444443,2.7037037037037037,8.358024691358025,0.6419753086419753,1.3580246913580247,19.6,0.527,11.597638271604936,Role Player
